Package,Built
assertthat,3.4.0
backports,3.4.3
base64enc,3.4.0
BH,3.4.1
bindr,3.4.0
bindrcpp,3.4.0
bit,3.4.0
bit64,3.4.0
bitops,3.4.0
blob,3.4.0
broom,3.4.3
callr,3.4.3
caTools,3.4.0
cellranger,3.4.0
chron,3.4.3
cli,3.4.2
clipr,3.4.2
clisymbols,3.4.0
colorspace,3.4.0
crayon,3.4.1
curl,3.4.3
DBI,3.4.0
dbplyr,3.4.3
debugme,3.4.2
desc,3.4.1
devtools,3.4.2
dichromat,3.4.0
digest,3.4.0
dplyr,3.4.2
enc,3.4.2
evaluate,3.4.1
extrafont,3.4.0
extrafontdb,3.4.0
forcats,3.4.0
fs,3.4.3
gapminder,3.4.2
ggforce,3.4.0
ggplot2,3.4.0
gh,3.4.1
git2r,3.4.3
glue,3.4.2
gridExtra,3.4.1
gsubfn,3.4.0
gtable,3.4.0
haven,3.4.3
here,3.4.0
highr,3.4.0
hms,3.4.3
htmltools,3.4.0
httpuv,3.4.1
httr,3.4.1
ini,3.4.2
jsonlite,3.4.0
knitr,3.4.3
labeling,3.4.0
lazyeval,3.4.2
lmtest,3.4.0
lubridate,3.4.2
magrittr,3.4.0
mapproj,3.4.0
maps,3.4.0
markdown,3.4.0
memoise,3.4.0
mime,3.4.0
mnormt,3.4.0
modelr,3.4.1
munsell,3.4.0
openssl,3.4.2
pillar,3.4.3
pkgconfig,3.4.0
plogr,3.4.0
plyr,3.4.0
praise,3.4.0
proto,3.4.0
psych,3.4.3
purrr,3.4.2
R6,3.4.0
RColorBrewer,3.4.0
Rcpp,3.4.3
readr,3.4.0
readxl,3.4.0
rematch,3.4.0
rematch2,3.4.1
reprex,3.4.3
reshape2,3.4.3
rlang,3.4.3
rmarkdown,3.4.2
rprojroot,3.4.3
RSQLite,3.4.1
rstudioapi,3.4.1
Rttf2pt1,3.4.3
rvest,3.4.0
scales,3.4.1
selectr,3.4.0
shiny,3.4.1
shinydashboard,3.4.0
sourcetools,3.4.0
sqldf,3.4.1
stringi,3.4.2
stringr,3.4.0
styler,3.4.3
testthat,3.4.3
tibble,3.4.3
tidyr,3.4.3
tidyselect,3.4.2
tidyverse,3.4.2
tweenr,3.4.0
udunits2,3.4.0
units,3.4.3
usethis,3.4.3
utf8,3.4.3
vcd,3.4.3
viridisLite,3.4.0
waffle,3.4.0
whisker,3.4.0
withr,3.4.3
xml2,3.4.3
xtable,3.4.0
yaml,3.4.3
zoo,3.4.3
